108018461806	NhacCuaTui.com	6369079
322004096814	Samsung Mobile Vietnam	3351694
210695369058001	Foody.vn	2536664
300829936671250	Chợ Tốt	2211699
232917180138659	Lazada	2177535
1477784285766342	Vietjet	1946146
249630331750816	Zanado.Com - Cộng đồng	1779206
150707875011322	YaMe Shop	1700106
184385571600224	adidas	1661469
684491471670573	Coca-Cola	1608065
332042093538446	FPT Shop (Fptshop.com.vn)	1579753
214557388625397	Android Việt Nam	1507363
158725017192	Mobiistar	1414470
104569802908608	KFC	1409057
169171922768	Tiki.vn	1406340
316092498518836	365ok.vn	1402965
532327666853339	Nối Tóc Thảo Tây	1366739
320083177682	California Fitness & Yoga Centers Vietnam	1333652
422989394439237	Viettel Telecom	1305699
132578406895217	OPPO Vietnam	1272184
374945879209089	Sony Vietnam	1212037
312859602115217	Samsung Vietnam	1159128
251794101539472	Jetstar Pacific Airlines	1152408
124486194319938	Vietjet	1139304
350006241681991	Lotteria Vietnam	1123666
527254703982474	Thời Trang Daisy	1067965
297196556964643	38 Degree Flowers	1007970
228572867236233	Chọn Mua	995315
161855460516510	CucRe.vn	954457
458169914226553	Number 1 Dâu & Chanh	947206
1685302681687831	Heineken	929181
472398449437365	Zalo	927717
411431788996727	MIA.vn	904409
243982815712858	Bốn mùa yêu thương.com	899137
132861753491432	Baskin-Robbins	890301
217168144966609	Rẻ Mỗi Ngày	880025
158700167508545	Appstore.vn	870072
108081009360443	Luu.Store	864382
411823468863482	Sendo.vn	861037
202201003220147	ZALORA	841000
454086481346463	Mặc Là Xinh	819904
136507563073175	TimViecNhanh.com	813552
117284821616009	HTC Vietnam	798502
307322385947202	EWAY.VN	790556
107935722694024	Fshare.vn	788436
145975751706	Microsoft Lumia	788109
186911474713457	Viễn Thông A	780448
703930363027726	Rejoice Vietnam	767969
118091371584953	Công Ty An Cường	756468
369798756445697	Cổng Thông Tin Việc Làm Việt Nam	747008
139891486197547	B.store	736483
179850822266	Pizza Hut VN	732503
123155861065069	Vietnam Airlines	717115
161101626605	Tra Xanh Khong Do	714459
102313326491651	Intel Vietnam	711716
331851576935365	NESCAFÉ CAFÉ VIỆT	705321
111558655547678	Shop-For-Gals & Cats	702907
391250700983944	Hội những người muốn tăng cân tăng cơ	689460
211024799022206	Kamaka.vn	680211
340066139424655	Trình duyệt Cốc Cốc	679061
376091632511521	Ảnh Viện Áo Cưới Sophia	666467
419659938149935	Nước Tăng Lực Number 1	662437
503137696387152	Adam Store	661190
363977870391085	THẨM MỸ VIỆN MAILISA	658817
183304455182501	Xanh Boutique	656884
518272734875087	Totoshop	653020
138207162947751	1988 Drink and More - 42 Nguyễn Trường Tộ	650783
695901593852256	Sprite	630658
306722846092553	Chia Sẻ Nhạc	622761
311881525493331	Maybelline New York - Vietnam	621130
122125314520178	Ancarat Jewelry - Vàng Phong Thủy	620604
153302874716612	ASUS	615327
219798451372038	Sting World	587238
241503216004768	Castrol Bikers Vietnam	579623
302335273166481	Giày cao Linhkent	579206
276683732455895	Fanta	561269
574535395905653	HKbike	558898
209081149178532	Hội những người muốn giảm cân nhanh	553065
160896917276281	LG Mobile Vietnam	549105
273477629359828	POND'S	536703
100473740084971	Pepsi	532907
139657963661	Du lịch giá rẻ - Alêhấp	530026
248010875211684	AVATAR SHOP	521808
273481559440423	Techcombank Việt Nam	518923
354762981349424	EVE Fashion	518406
124655500897303	Babi.vn	512133
205312099598859	Méo shop	506859
532364080154821	YoMost	505927
219307331437812	Oversize Shop	503043
125575407485851	cungmua.com	501370
357310644357039	TNG Fashion	499444
105288852858295	Vietnam Airlines	496967
155260394536195	Entiati	496878
411862255529291	IVY moda	496402
102806733094617	Trà thảo mộc Dr Thanh	490474
174861331747	SkyDoor	488509
109753675772847	VNPT - VinaPhone	482944
402822549840003	McDonald's Vietnam	478276
